url_length,url_path_depth,url_num_dots,url_num_special,url_num_hyphens,url_num_underscores,url_num_percent,url_num_equal,url_num_ampersand,url_entropy,url_has_risky_ext,url_has_double_encoding,query_length,query_num_params,query_num_equals,query_num_special,query_num_percent,query_entropy,query_has_sqli,query_has_xss,query_has_traversal,query_has_encoding,query_is_empty,body_length,body_entropy,body_num_params,body_num_special,body_num_percent,body_num_quotes,body_num_semicolons,body_num_brackets,body_has_sqli,body_has_xss,body_has_traversal,body_has_encoding,body_is_empty,method_get,method_post,method_put,method_suspicious,cookie_length,cookie_has_sqli,cookie_has_xss,cookie_is_present,content_type_is_form,content_type_is_json,content_type_is_none,connection_is_close,connection_keep_alive,post_no_content_type,get_with_body,post_empty_body,content_length_mismatch,label,attack_class,request_id
41,3,1,0,0,0,0,0,0,4.3635,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,42,1,0,1,1,0,0,0,0,0,0,1,1,1,PathTransversal,44707
159,12,4,0,2,0,0,0,0,5.4254,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,34,1,0,1,0,0,1,1,0,0,0,0,0,0,Valid,30304
67,4,2,0,0,1,0,0,0,5.1353,0,0,269,15,15,0,3,5.3143,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,117,1,0,1,0,0,1,0,1,0,0,0,0,0,Valid,22368
34,2,1,0,0,0,0,0,0,4.4548,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,74,1,0,1,0,0,1,1,0,0,0,0,0,0,Valid,23669
18,1,1,0,0,0,0,0,0,3.7947,0,0,151,8,8,0,4,5.183,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0,1,0,0,1,0,1,0,0,0,0,0,Valid,23537
107,9,1,0,0,1,0,0,0,5.2996,0,0,410,14,14,0,25,5.5719,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,35,1,0,1,0,0,1,1,0,0,0,0,0,1,SqlInjection,41066
23,2,1,0,0,0,0,0,0,4.2299,0,0,169,6,6,0,8,5.1681,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,0,0,1,0,0,1,0,0,0,0,0,0,1,SqlInjection,42224
84,8,2,0,0,0,0,0,0,5.0199,1,0,349,11,11,0,27,5.3043,1,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,32,1,0,1,0,0,1,0,0,0,0,0,0,1,XSS,47538
85,7,3,0,1,1,0,0,0,5.184,1,0,130,3,3,0,14,4.803,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,66,1,0,1,0,0,1,0,1,0,0,0,0,1,XSS,46974
20,1,1,0,0,0,0,0,0,4.2219,0,0,206,8,8,0,9,5.3524,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30,1,0,1,0,0,1,0,0,0,0,0,0,1,LdapInjection,37944
206,12,5,0,3,2,0,0,0,5.5484,0,0,217,13,13,0,2,4.9869,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,36,1,0,1,0,0,1,0,0,0,0,0,0,0,Valid,15314
22,2,1,0,0,1,0,0,0,4.2776,0,0,181,7,7,0,11,5.1798,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,56,1,0,1,0,0,1,1,0,0,0,0,0,1,SSI,39766
104,8,1,0,1,0,0,0,0,5.2195,0,0,77,3,3,0,4,4.7631,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,76,1,0,1,0,0,1,0,1,0,0,0,0,0,Valid,14929
58,4,1,0,1,0,0,0,0,4.8035,1,0,201,7,7,0,9,5.4579,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,78,1,0,1,0,0,1,0,0,0,0,0,0,1,XSS,47302
42,3,2,0,0,0,0,0,0,4.7373,0,0,56,4,4,0,0,4.5086,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,Valid,26950
90,7,2,0,0,0,0,0,0,5.0799,0,0,445,14,14,0,28,5.4606,1,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,76,1,0,1,0,0,1,0,0,0,0,0,0,1,XSS,47917
63,3,1,0,1,1,0,0,0,4.9728,1,0,411,14,14,0,21,5.376,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,60,1,0,1,0,0,1,0,0,0,0,0,0,1,SSI,40326
43,2,2,0,0,0,0,0,0,4.6005,1,0,148,9,9,0,0,5.2132,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,58,1,0,1,0,0,1,0,0,0,0,0,0,0,Valid,14831
178,12,3,0,1,1,0,0,0,5.4109,0,0,109,3,3,0,9,5.1036,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,65,1,0,1,0,0,1,0,0,0,0,0,0,1,PathTransversal,44966
18,2,1,0,0,1,0,0,0,3.7255,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,53,1,0,1,1,0,0,0,1,0,0,1,1,1,SqlInjection,42707
112,8,1,0,0,0,0,0,0,4.8358,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,83,1,0,1,1,0,0,1,0,0,0,0,1,0,Valid,6763
82,7,3,0,0,0,0,0,0,4.8977,0,0,118,7,7,0,1,4.9868,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,114,1,0,1,0,0,1,0,1,0,0,0,0,0,Valid,13937
31,2,1,0,0,0,0,0,0,4.1715,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0,1,1,0,0,0,0,0,0,0,1,0,Valid,34592
146,12,2,0,0,1,0,0,0,5.4025,0,0,184,4,4,0,16,4.8078,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,49,1,0,1,0,0,1,0,1,0,0,0,0,1,SqlInjection,35272
80,6,1,0,1,0,0,0,0,5.0431,0,0,117,6,6,0,2,5.3221,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,110,1,0,1,0,0,1,0,1,0,0,0,0,1,OsCommanding,42992
14,1,1,0,1,1,0,0,0,3.6645,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,72,1,0,1,1,0,0,0,0,0,0,0,1,0,Valid,7550
166,11,3,0,1,3,0,0,0,5.4956,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,28,1,0,1,0,0,1,0,1,0,0,0,0,0,Valid,20371
17,1,1,0,0,0,0,0,0,3.7345,1,0,18,1,1,0,0,3.9477,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,31,1,0,1,0,0,1,0,1,0,0,0,0,1,SqlInjection,41285
15,1,1,0,0,0,0,0,0,3.6402,0,0,159,6,6,0,7,5.1745,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19,0,0,1,0,0,1,0,1,0,0,0,0,1,LdapInjection,38248
53,4,1,0,0,0,0,0,0,4.5227,0,0,225,11,11,0,4,5.3572,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,102,1,0,1,0,0,1,1,0,0,0,0,0,0,Valid,26961
14,2,0,0,0,0,0,0,0,3.6645,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,65,1,0,1,0,0,1,1,0,0,0,0,0,1,XPathInjection,49682
116,11,2,0,0,0,0,0,0,5.1199,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,21,0,0,1,1,0,0,1,0,0,0,0,1,0,Valid,5248
74,5,2,0,2,1,0,0,0,5.0724,1,0,59,1,1,0,7,3.818,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,70,1,0,1,0,0,1,1,0,0,0,0,0,1,PathTransversal,45887
114,8,2,0,1,0,0,0,0,5.2789,1,0,234,9,9,0,17,5.1227,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,73,1,0,1,0,0,1,0,0,0,0,0,0,1,OsCommanding,36657
29,2,2,0,0,0,0,0,0,4.3752,0,0,88,3,3,0,5,4.7996,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,1,SqlInjection,41714
80,6,2,0,0,1,0,0,0,5.1263,0,0,176,2,2,0,24,4.3158,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,69,1,0,1,0,0,1,0,0,0,0,0,0,1,XPathInjection,49729
100,8,1,0,0,1,0,0,0,5.1584,0,0,91,6,6,0,2,5.1324,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,Valid,28711
17,1,1,0,0,0,0,0,0,3.6169,0,0,235,1,1,0,30,4.2742,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,94,1,0,1,0,0,1,0,0,0,0,0,0,1,XPathInjection,35707
28,2,1,0,0,0,0,0,0,4.5216,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,69,1,0,1,0,0,1,0,0,0,0,0,0,0,Valid,13578
58,2,1,0,0,0,6,0,0,3.6969,1,0,6,0,0,0,0,2.585,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,28,1,0,1,0,0,1,0,1,0,0,0,0,1,OsCommanding,43714
31,2,1,0,0,0,0,0,0,4.4137,0,0,79,5,5,0,1,5.0652,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,64,1,0,1,0,0,1,0,0,0,0,0,0,1,SSI,40393
40,3,2,0,0,0,0,0,0,4.7342,0,0,342,13,13,0,23,5.3728,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,66,1,0,1,0,0,1,1,0,0,0,0,0,1,XSS,46973
41,3,1,0,0,1,0,0,0,4.6378,0,0,90,2,2,0,10,4.6428,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,22,0,0,1,0,0,1,1,0,0,0,0,0,1,SSI,39689
24,1,1,0,0,0,0,0,0,3.4702,1,0,85,4,4,0,3,5.0589,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,54,1,0,1,0,0,1,1,0,0,0,0,0,0,Valid,18680
71,4,1,0,1,0,0,0,0,4.9078,1,0,62,3,3,0,2,4.8854,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,42,1,0,1,0,0,1,0,1,0,0,0,0,0,Valid,26405
143,10,2,0,0,0,0,0,0,5.1183,0,0,228,11,11,0,7,5.2225,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,22,0,0,1,0,0,1,1,0,0,0,0,0,0,Valid,30490
81,5,1,0,0,2,0,0,0,5.0096,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,1,0,0,1,0,1,0,0,0,0,0,Valid,26243
67,6,1,0,2,0,0,0,0,5.0692,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,58,1,0,1,0,0,1,0,0,0,0,0,0,0,Valid,23892
25,2,1,0,0,0,0,0,0,3.7493,0,0,94,1,1,0,12,4.13,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,1,0,0,1,0,1,0,0,0,0,1,LdapInjection,37738
26,2,1,0,0,0,0,0,0,4.3158,0,0,63,4,4,0,1,4.7791,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,43,1,0,1,0,0,1,1,0,0,0,0,0,0,Valid,21588
47,4,1,0,1,1,0,0,0,4.8842,1,0,254,15,15,0,0,5.1153,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,Valid,12775
58,6,1,0,0,0,0,0,0,4.6663,0,0,191,7,7,0,16,5.111,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,0,0,1,0,0,1,0,1,0,0,0,0,1,SSI,40129
115,9,2,0,0,1,0,0,0,5.0807,1,0,96,3,3,0,10,4.6905,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,62,1,0,1,0,0,1,0,0,0,0,0,0,1,SSI,40195
66,7,1,0,1,0,0,0,0,4.6496,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,69,1,0,1,1,0,0,0,0,0,0,0,1,1,OsCommanding,43630
95,7,1,0,1,0,0,0,0,5.1981,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,133,1,0,1,0,0,1,0,0,0,0,0,0,0,Valid,13078
28,2,1,0,2,0,0,0,0,4.209,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,58,1,0,1,1,0,0,1,0,0,0,0,1,0,Valid,7286
73,6,2,0,0,1,0,0,0,4.9631,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,65,1,0,1,0,0,1,0,0,0,0,0,0,0,Valid,14595
70,7,1,0,0,0,0,0,0,5.0326,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,148,1,0,1,1,0,0,1,0,0,0,0,1,1,XSS,48287
7,1,1,0,0,0,0,0,0,2.5216,0,0,265,13,13,0,2,5.192,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,93,1,0,1,0,0,1,0,0,0,0,0,0,1,XSS,46583
38,3,1,0,1,0,0,0,0,4.5895,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,106,1,0,1,1,0,0,0,1,0,0,0,1,1,LdapInjection,36934
101,11,1,0,1,1,0,0,0,5.1198,0,0,59,1,1,0,8,4.1474,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,1,LdapInjection,36983
114,9,2,0,1,0,0,0,0,5.3277,0,0,379,14,14,0,13,5.4216,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,154,1,0,1,0,0,1,0,1,0,0,0,0,1,SqlInjection,41567
